1. Crater name ,2. Diameter [km],3. Latitude [°],4. Longitude [°],5. East longitude [°],6. Radius [km],7. Radius [m],8. Apparent diameter [km],9. Transient cavity diameter [km],10. Transient cavity diameter [km],11. Floor diameter [km],12. Measured rim to floor depth [km],13. Rim to floor depth [km],14. Apparent depth [km],15. Transient cavity depth [km] ,16. Interior volume [km^3],17. Rim height [km],18. Rim flank width [km],19. Measured height of central peak [km],20. Height of central peak [km],21. Diameter of central peak [km],22. Basal area of central peak [km^2],23. Maximum diameter of ejecta blocks [km],24. Maximum diameter of ejecta blocks [km] ,25. Thickness of ejecta in the distance equal to one radius [m] ,26. Thickness of ejecta in the distance equal to two radii [m],27. Thickness of ejecta in the distance equal to three radii [m],28. Thickness of ejecta in the distance equal to four radii [m],29. Thickness of ejecta in the distance equal to five radii [m],"30. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","31. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","32. Thickness of ejecta in the distance of 10,000 m outside the rim [m]","33. Thickness of ejecta in the distance of 10,000 m outside the rim [m]",34. Radial distance of continuous ejecta [km],35. Radial distance of continuous ejecta [km],36. Radius of ejecta blanket thicker than 10 m [km],37. Radius of ejecta blanket thicker than 10 m [km] minimum,38. Radius of ejecta blanket thicker than 10 m [km] best estimate,39. Radius of ejecta blanket thicker than 10 m [km] maximum,40. Radius of radar-bright halo [km],41. Measured radius of radar-bright halo [km],42. Radius of radar-dark halo [km],43. Measured radius of radar-dark halo [km],44. Depth of excavation [km],45. Depth of excavation [km],46. Depth of melting [km],47. Depth of melting [km],48. Melt volume [km^3] ,"49. Melt volume, 45° on basalt [km^3] ","50. Melt volume, 45° on anorthosite [km^3] ",51. Age,52. Age class,53. Remarks,54. Age - source ,55. Age - other sources,56. Basin age group,"57. Citation for first mention, citation for nomenclature from ",58. Approval,59. Peak lithology,60. Ol [vol.-%],61. Opx [vol.-%],62. Cpx [vol.-%],63. Plg [vol.-%],64. Mafics/Plg,65. Opx/Cpx,66. Plg [wt.-%],67. Ol [wt.-%],68. Opx [wt.-%],69. Cpx [wt.-%],70. FeO [wt.-%],71. Peak lithologies,72. Setting,73. Average CF [?m],74. Average OMAT,75. Average FeO [wt.-%],76. OMAT range,77. Plg abundance class,78. Province,79. Peak degradation,80. PAN location,81. Rays,1. Crater name 
Wurzelbauer L,7.3,-34.87,-17.89,342.11,3.7,3650,6.06,6.13,0,1.04,0.57,1.46,1.226,2.04,15.56,0.27,1.92,,0,0,0,0.04,0.11,146,18.25,5.41,2.28,1.17,2.79,9.91,10.9,2.3,8.64,7.41,13.61,7.85,8.92,10.67,6.09,,21.19,,0,0.61,0,0.64,0.15,0.1,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Wurzelbauer L
Wurzelbauer M,4.26,-32.14,-16.06,343.94,2.1,2130,3.54,3.58,0,0.4,0.79,0.85,0.738,1.19,3.09,0.16,1.11,,0,0,0,0.03,0.08,85.2,10.65,3.16,1.33,0.68,0.46,2.33,2.57,0.38,5.02,4.38,7.47,3.93,4.35,5.02,3.1,,13.49,,0,0.36,0,0.32,0.02,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Wurzelbauer M
Wurzelbauer N,11.42,-32.58,-14.92,345.08,5.7,5710,9.48,9.59,0,2.28,2.18,2.29,1.868,3.2,59.57,0.43,3.01,,0,0,0,0.05,0.15,228.4,28.55,8.46,3.57,1.83,10.97,29.02,31.87,9.05,13.55,11.46,22.41,13.96,16.2,19.96,10.65,,30.86,,0,0.96,0,1.15,0.86,0.3,0.7,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Wurzelbauer N
Wurzelbauer O,7.85,-35.91,-14.66,345.34,3.9,3925,6.52,6.59,0,1.18,0.99,1.57,1.313,2.2,19.35,0.29,2.06,,0,0,0,0.04,0.12,157,19.63,5.81,2.45,1.26,3.52,11.9,13.08,2.9,9.29,7.95,14.76,8.62,9.83,11.81,6.66,,22.53,,0,0.66,0,0.71,0.2,0.1,0.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Wurzelbauer O
Wurzelbauer P,8.83,-35.14,-14.28,345.72,4.4,4415,7.33,7.42,0,1.45,2.31,1.77,1.466,2.47,27.54,0.33,2.32,,0,0,0,0.04,0.13,176.6,22.08,6.54,2.76,1.41,5.07,15.9,17.47,4.19,10.46,8.92,16.82,10.03,11.5,13.92,7.72,,24.87,,0,0.74,0,0.82,0.32,0.1,0.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Wurzelbauer P
Wurzelbauer S,11.7,-37.52,-19.32,340.68,5.9,5850,9.71,9.83,0,2.38,0.86,2.35,1.911,3.28,64.06,0.44,3.09,,0,0,0,0.05,0.15,234,29.25,8.67,3.66,1.87,11.77,30.64,33.64,9.71,13.88,11.74,23.02,14.4,16.73,20.65,10.97,,31.49,,0,0.98,0,1.18,0.94,0.3,0.7,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Wurzelbauer S
Wurzelbauer W,7.35,-32.76,-15.2,344.8,3.7,3675,6.1,6.17,0,1.05,1.34,1.47,1.234,2.06,15.88,0.27,1.93,,0,0,0,0.04,0.11,147,18.38,5.44,2.3,1.18,2.85,10.08,11.09,2.35,8.7,7.45,13.71,7.92,9,10.77,6.14,,21.32,,0,0.62,0,0.65,0.16,0.1,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Wurzelbauer W
Wurzelbauer X,6.46,-33.67,-14.46,345.54,3.2,3230,5.36,5.43,0,0.83,,1.29,1.093,1.81,10.78,0.24,1.69,,0,0,0,0.03,0.1,129.2,16.15,4.79,2.02,1.03,1.88,7.23,7.96,1.55,7.64,6.57,11.88,6.71,7.58,8.99,5.22,,19.13,,0,0.54,0,0.55,0.1,0,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Wurzelbauer X
Wurzelbauer Y,8.95,-33.13,-17.68,342.32,4.5,4475,7.43,7.52,0,1.48,1.52,1.79,1.485,2.51,28.68,0.33,2.36,,0,0,0,0.04,0.13,179,22.38,6.63,2.8,1.43,5.29,16.43,18.05,4.36,10.6,9.03,17.08,10.2,11.71,14.19,7.85,,25.15,,0,0.75,0,0.84,0.34,0.1,0.3,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Wurzelbauer Y
Wurzelbauer Z,13.83,-32.23,-14.94,345.06,6.9,6915,11.48,11.62,0,3.2,1.59,2.78,2.236,3.87,0,0.52,3.66,,0,0,0,0.06,0.17,276.6,34.58,10.24,4.32,2.21,18.9,44.09,48.39,15.59,16.43,13.82,27.74,17.85,20.91,26.09,13.53,,36.24,,0,1.16,0,1.47,1.79,0.6,1.4,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Wurzelbauer Z
Wyld,103.4,-1.42,98.1,98.1,51.7,51700,88.92,77.4,58.53,61.37,,4.22,2.867,25.8,10718.14,1.5,22.57,,0,24.21,232.3,0,0,430.64,53.83,15.95,6.73,3.45,253.35,757.01,825.83,1003.74,124.3,98.43,261.01,151.49,181.22,232.88,144.79,,196.13,,8.62,7.74,16.46,17.04,2654.6,899.6,2063.5,pre-Nectarian,1,,W&B09,,,IAU1970,1970,,,,,,,,,,,,,,,,,,,,,,,,Wyld
Wyld C,33.73,0.73,100.77,100.77,16.9,16865,29.01,29.87,20.54,15.15,,3.01,2.082,9.96,805.93,0.96,8.85,,0.61,6.17,19.98,0.1,0.3,187.97,23.5,6.96,2.94,1.5,46.5,216.78,237.28,137.69,40.28,32.98,74.91,39,44.84,54.53,44.04,,76.59,,3.33,2.99,3.89,4.97,67.91,23,52.8,,,,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Wyld C
Wyld J,23.89,-3.81,99.34,99.34,11.9,11945,20.55,22.28,14.88,9.85,,2.71,1.875,7.43,363.29,0.84,6.63,,0.31,3.62,9.39,0.08,0.24,145.63,18.2,5.39,2.28,1.17,23.49,125.54,137.56,63.57,28.47,23.55,51,25.68,29.17,34.87,30.53,,57.34,,0,2.23,0,3.41,21.96,7.4,17.1,,,Unapproved name Cervantes,,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Wyld J
Xenophanes,117.57,57.49,-82.01,277.99,58.8,58785,101.11,86.33,65.99,72.05,,4.38,2.904,28.78,14419.89,1.58,25.12,,0,27.88,307.75,0,0,473.57,59.2,17.54,7.4,3.79,295.6,839.34,915.29,1210.87,141.44,111.57,301.17,176.99,212.68,275.06,165.96,,218.45,,9.62,8.63,18.82,19.62,4041.35,1369.6,3141.5,pre-Nectarian,1,,GHM 2,,,R1651,1935,,,,,,,,,,,,,,,,,,,,,,,,Xenophanes
Xenophanes A,43.18,60.07,-84.83,275.17,21.6,21590,37.13,36.85,25.88,20.62,,3.24,2.244,12.28,1425.87,1.06,10.87,,1,8.61,34.32,0.12,0.36,225.67,28.21,8.36,3.53,1.81,72.04,304.45,333,227.44,51.64,41.97,98.64,52.6,61.01,75.1,57.25,,94.23,,4.11,3.68,5.74,6.53,152.39,51.6,118.5,Upper Imbrian,4,,GHM 2,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Xenophanes A
Xenophanes B,14.42,59.48,-80.56,279.44,7.2,7210,11.97,12.11,0,3.44,,2.9,2.326,4.04,0,0.54,3.82,,0,0,0,0.06,0.17,288.4,36.05,10.68,4.51,2.31,21.21,48.14,52.83,17.49,17.13,14.39,29.06,18.84,22.11,27.67,14.25,,37.53,,0,1.21,0,1.55,2.1,0.7,1.6,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Xenophanes B
Xenophanes C,9.85,59.58,-78.95,281.05,4.9,4925,8.18,8.27,0,1.76,,1.98,1.625,2.76,38.23,0.37,2.6,,0,0,0,0.05,0.14,197,24.63,7.3,3.08,1.58,7.08,20.64,22.68,5.84,11.68,9.92,19,11.54,13.3,16.23,8.85,,27.25,,0,0.83,0,0.95,0.48,0.2,0.4,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Xenophanes C
Xenophanes D,12.32,58.62,-77.63,282.37,6.2,6160,10.23,10.35,0,2.61,,2.48,2.006,3.45,74.8,0.46,3.25,,0,0,0,0.05,0.16,246.4,30.8,9.13,3.85,1.97,13.65,34.36,37.72,11.26,14.62,12.34,24.38,15.39,17.93,22.19,11.71,,32.89,,0,1.03,0,1.26,1.15,0.4,0.9,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Xenophanes D
Xenophanes E,15.66,58.06,-85.74,274.26,7.8,7830,13,15.56,10.03,3.98,,2.39,2.514,5.19,0,0.59,4.15,,0,0,0,0.06,0.18,106.54,13.32,3.95,1.66,0.85,9.02,57.04,62.57,21.88,18.61,15.6,31.86,15.39,17.23,20.17,19.49,,40.22,,0,1.56,0,2.14,5.51,1.9,4.3,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Xenophanes E
Xenophanes F,27.8,56.69,-73.46,286.54,13.9,13900,23.91,25.34,17.15,11.9,,2.84,1.963,8.45,515.61,0.89,7.53,,0.42,4.63,13.08,0.09,0.27,162.91,20.36,6.03,2.55,1.3,32.05,161.31,176.67,90.24,33.16,27.31,60.39,30.85,35.24,42.44,35.86,,65.11,,2.82,2.53,2.7,4.02,36.07,12.2,28,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Xenophanes F
Xenophanes G,7.28,56.94,-75.99,284.01,3.6,3640,6.04,6.12,0,1.03,,1.46,1.223,2.04,15.43,0.27,1.91,,0,0,0,0.04,0.11,145.6,18.2,5.39,2.28,1.16,2.77,9.84,10.82,2.28,8.61,7.39,13.57,7.82,8.89,10.63,6.06,,21.15,,0,0.61,0,0.64,0.15,0.1,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Xenophanes G
Xenophanes K,14.1,58.7,-84.56,275.44,7.1,7050,11.7,11.84,0,3.31,,2.84,2.277,3.95,0,0.53,3.73,,0,0,0,0.06,0.17,282,35.25,10.44,4.41,2.26,19.94,45.93,50.4,16.45,16.75,14.08,28.34,18.3,21.46,26.81,13.86,,36.83,,0,1.18,0,1.5,1.93,0.7,1.5,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Xenophanes K
Xenophanes L,22.41,54.81,-78.54,281.46,11.2,11205,19.27,21.1,14.02,9.09,,2.66,1.839,7.03,313.4,0.82,6.28,,0.27,3.23,8.16,0.08,0.23,138.9,17.36,5.14,2.17,1.11,20.49,112.36,123.14,54.56,26.69,22.13,47.5,23.76,26.93,32.1,28.52,,54.34,,0,2.11,0,3.17,17.82,6,13.8,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Xenophanes L
Xenophanes M,9.08,54.8,-79.62,280.38,4.5,4540,7.54,7.63,0,1.52,,1.82,1.505,2.54,29.94,0.34,2.39,,0,0,0,0.04,0.13,181.6,22.7,6.73,2.84,1.45,5.53,17.01,18.69,4.56,10.76,9.16,17.36,10.39,11.93,14.48,7.99,,25.45,,0,0.76,0,0.85,0.35,0.1,0.3,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Xenophanes M
Xenophon,25.5,-22.79,122.05,122.05,12.8,12750,21.93,23.55,15.82,10.68,,2.77,1.912,7.85,422.36,0.86,7,,0.35,4.03,10.83,0.08,0.25,152.83,19.1,5.66,2.39,1.22,26.9,140.13,153.51,74.06,30.4,25.1,54.85,27.79,31.64,37.95,32.72,,60.56,,0,2.35,0,3.66,27.19,9.2,21.1,,,,,,,IAU1976,1976,,,,,,,,,,,,,,,,,,,,,,,,Xenophon
Yablochkov,101.49,60.78,127.58,127.58,50.7,50745,87.28,76.19,57.52,59.96,,4.19,2.861,25.4,10266.32,1.49,22.22,,0,23.72,223,0,0,424.74,53.09,15.73,6.64,3.4,247.61,745.35,813.15,976.24,121.99,96.65,255.64,148.11,177.05,227.32,141.95,,193.08,,8.49,7.62,16.13,16.69,2497.47,846.4,1941.4,pre-Nectarian,1,,W&B09,,,IAU1970,1970,,,,,,,,,,,,,,,,,,,,,,,,Yablochkov
Yablochkov U,30.73,61.88,120.28,120.28,15.4,15365,26.43,27.6,18.83,13.48,,2.93,2.024,9.2,649.9,0.93,8.18,,0.51,5.39,16.29,0.1,0.29,175.45,21.93,6.5,2.74,1.4,39,188.64,206.54,112.7,36.67,30.12,67.52,34.83,39.93,48.33,39.89,,70.83,,3.07,2.76,3.29,4.49,50.06,17,38.9,Nectarian,2,Younger than Humboldtianum Basin ,PC,,,AW82,2006,,,,,,,,,,,,,,,,,,,,,,,,Yablochkov U
Yakovkin,35.92,-54.42,-78.93,281.07,18,17960,30.89,31.51,21.79,16.39,,3.07,2.122,10.5,931.97,0.99,9.32,,0.7,6.73,22.93,0.11,0.32,196.93,24.62,7.29,3.08,1.58,52.19,237.3,259.69,157.08,42.91,35.07,80.35,42.08,48.5,59.16,47.08,,80.74,,3.51,3.15,4.33,5.33,83.43,28.3,64.9,Nectarian,2,Formerly Pingré H; partly covered by Imbrian ejecta ,PC,,,IAU1985,1985,,,,,,,,,,,,,,,,,,,,,,,,Yakovkin
Yamamoto,77.46,58.16,161.87,161.87,38.7,38730,66.62,60.55,44.68,42.79,,3.87,2.785,20.18,5499.79,1.34,17.72,,0,17.49,123.4,0.18,0.53,347.76,43.47,12.88,5.43,2.78,174.6,585.08,638.82,641.67,92.96,74.25,189.18,106.76,126.42,160.16,106.53,,153.9,,6.75,6.06,12,12.4,1031.54,349.6,801.9,pre-Nectarian,1,,PC,,,IAU1970,1970,,,,,,,,,,,,,,,,,,,,,,,,Yamamoto
Yangel',7.87,16.96,4.69,4.69,3.9,3935,6.53,6.61,0,1.18,,1.57,1.316,2.2,19.5,0.29,2.07,,0,0,0,0.04,0.12,157.4,19.68,5.83,2.46,1.26,3.54,11.98,13.17,2.92,9.32,7.97,14.8,8.65,9.86,11.85,6.69,,22.58,,0,0.66,0,0.71,0.2,0.1,0.2,,,,,,,IAU1973,1973,,,,,,,,,,,,,,,,,,,,,,,,Yangel'
Yerkes,34.94,14.6,51.7,51.7,17.5,17470,30.05,30.78,21.23,15.83,0.62,3.04,2.105,10.26,874.28,0.97,9.11,,0.66,6.48,21.58,0.1,0.31,192.94,24.12,7.15,3.01,1.54,49.63,228.12,249.67,148.29,41.73,34.14,77.91,40.7,46.86,57.08,45.72,,78.89,,3.43,3.08,4.13,5.17,76.21,25.8,59.2,Lower Imbrian,3,,GHM 2,,,K1898,1935,,,,,,,,,,,,,,,,,,,,,,,,Yerkes
Yerkes E,9.91,15.9,50.67,50.67,5,4955,8.23,8.32,0,1.78,,1.99,1.634,2.77,38.93,0.37,2.61,,0,0,0,0.05,0.14,198.2,24.78,7.34,3.1,1.59,7.21,20.94,23,5.95,11.75,9.98,19.13,11.63,13.41,16.36,8.92,,27.39,,0,0.83,0,0.95,0.5,0.2,0.4,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,S and SE walls     ,,Yerkes E
Yoshi,0.5,24.56,10.99,10.99,0.3,250,0.42,0.42,0,0.01,,0.1,0.069,0.14,0.01,0.02,0.13,,0,0,0,0.01,0.02,10,1.25,0.37,0.16,0.08,0,0,0,0,0,0,0.69,0.25,0.25,0.25,0.21,,2.23,,0,0.04,0,0,0,0,0,,,,,,,IAU1976,1976,,,,,,,,,,,,,,,,,,,,,,,,Yoshi
Young,71.44,-41.54,50.98,50.98,35.7,35720,61.44,56.53,41.43,38.67,,3.77,2.762,18.84,4562.28,1.3,16.57,,0,15.93,103.37,0.17,0.5,327.55,40.94,12.13,5.12,2.62,156.21,540.54,590.33,562.14,85.69,68.61,172.87,96.79,114.29,144.22,97.75,,143.8,,6.3,5.65,10.94,11.35,791.6,268.3,615.3,pre-Nectarian,1,,GHM 1,,,S1878,1935,,,,,,,,,,,,,,,,,,,,,,,,Young
Young A,11.76,-41.15,51.18,51.18,5.9,5880,9.76,9.88,0,2.4,,2.36,1.92,3.29,65.06,0.44,3.11,,0,0,0,0.05,0.15,235.2,29.4,8.71,3.68,1.88,11.94,30.99,34.03,9.85,13.95,11.79,23.15,14.49,16.85,20.79,11.04,,31.63,,0,0.99,0,1.19,0.96,0.3,0.7,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Young A
Young B,7.56,-41,50.74,50.74,3.8,3780,6.27,6.35,0,1.1,,1.51,1.267,2.12,17.28,0.28,1.99,,0,0,0,0.04,0.11,151.2,18.9,5.6,2.36,1.21,3.12,10.83,11.91,2.57,8.95,7.66,14.15,8.21,9.35,11.2,6.36,,21.83,,0,0.64,0,0.67,0.18,0.1,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Young B
Young C,29.58,-41.56,48.24,48.24,14.8,14790,25.44,26.72,18.17,12.86,,2.89,2.001,8.91,595.09,0.91,7.93,,0.47,5.09,14.99,0.09,0.28,170.57,21.32,6.32,2.67,1.36,36.22,177.88,194.78,103.65,35.29,29.02,64.71,33.26,38.07,46,38.31,,68.6,,2.98,2.67,3.06,4.31,44.19,15,34.4,Nectarian,2,,PC,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Young C
Young D,45.11,-43.49,51.73,51.73,22.6,22555,38.79,38.24,26.96,21.78,,3.29,2.275,12.75,1577.42,1.08,11.28,,1.09,9.11,37.77,0.12,0.37,233.09,29.14,8.63,3.64,1.86,77.52,321.96,352.1,247.53,53.96,43.8,103.57,55.46,64.43,79.48,59.98,,97.76,,4.26,3.82,6.11,6.85,175.83,59.6,136.7,Nectarian,2,Typical ,GHM 1 PC,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Young D
Young F,19.56,-44.85,51.67,51.67,9.8,9780,16.82,18.8,12.35,5.9,,2.56,1.764,6.27,228.9,0.77,5.61,,0.21,2.5,6.06,0.07,0.21,125.6,15.7,4.65,1.96,1,15.18,87.86,96.33,39.01,23.28,19.38,40.82,20.15,22.73,26.91,24.68,,48.48,,0,1.88,0,2.73,11.42,3.9,8.9,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Young F
Young R,9.45,-42.43,55.39,55.39,4.7,4725,7.84,7.94,0,1.63,,1.89,1.563,2.65,33.76,0.35,2.49,,0,0,0,0.04,0.13,189,23.63,7,2.95,1.51,6.24,18.71,20.56,5.15,11.2,9.53,18.15,10.94,12.59,15.31,8.4,,26.32,,0,0.79,0,0.9,0.41,0.1,0.3,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Young R
Young S,9.98,-43.36,53.88,53.88,5,4990,8.28,8.38,0,1.8,,2,1.645,2.79,39.76,0.37,2.63,,0,0,0,0.05,0.14,199.6,24.95,7.39,3.12,1.6,7.36,21.29,23.39,6.07,11.83,10.05,19.28,11.74,13.54,16.53,9,,27.56,,0,0.84,0,0.96,0.51,0.2,0.4,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Young S
Zach,68.54,-60.92,5.25,5.25,34.3,34270,58.94,54.57,39.86,36.72,,3.73,2.751,18.19,4145.8,1.27,16,,0,15.18,94.4,0.16,0.49,317.66,39.71,11.77,4.96,2.54,147.36,518.38,566.2,524.62,82.19,65.89,165.07,92.05,108.53,136.68,93.54,,138.88,,6.08,5.46,10.42,10.84,691.21,234.2,537.3,Nectarian,2,,GHM 2 PC,,,VL1645  M1834,1935,,,,,,,,,,,,,,,,,,,,,,,,Zach
Zach A,35.33,-62.61,4.99,4.99,17.7,17665,30.38,31.07,21.45,16.05,,3.05,2.112,10.36,896.99,0.98,9.2,,0.67,6.58,22.11,0.1,0.31,194.53,24.32,7.2,3.04,1.56,50.65,231.78,253.66,151.77,42.2,34.51,78.88,41.25,47.51,57.9,46.26,,79.63,,3.46,3.11,4.21,5.23,79.03,26.8,61.4,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Zach A
Zach B,30.19,-58.65,2.78,2.78,15.1,15095,25.96,27.18,18.52,13.19,,2.91,2.013,9.06,623.82,0.92,8.06,,0.49,5.25,15.67,0.09,0.28,173.17,21.65,6.41,2.71,1.39,37.69,183.59,201.02,108.41,36.03,29.6,66.2,34.09,39.05,47.23,39.14,,69.78,,3.03,2.72,3.18,4.4,47.24,16,36.7,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Zach B
Zach C,12.15,-58.68,1.17,1.17,6.1,6075,10.08,10.21,0,2.54,,2.44,1.98,3.4,71.74,0.45,3.21,,0,0,0,0.05,0.16,243,30.38,9,3.8,1.94,13.12,33.32,36.58,10.82,14.42,12.18,24.01,15.12,17.6,21.77,11.5,,32.5,,0,1.02,0,1.24,1.09,0.4,0.8,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Zach C
Zach D,28.94,-62.12,7.85,7.85,14.5,14470,24.89,26.22,17.8,12.51,,2.87,1.987,8.74,565.77,0.9,7.78,,0.45,4.93,14.29,0.09,0.28,167.83,20.98,6.22,2.62,1.34,34.7,171.91,188.26,98.74,34.52,28.4,63.15,32.39,37.05,44.71,37.43,,67.35,,2.92,2.62,2.93,4.2,41.14,13.9,32,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Zach D
Zach E,24.19,-59.54,6.21,6.21,12.1,12095,20.8,22.52,15.06,10,,2.72,1.882,7.51,373.92,0.84,6.7,,0.32,3.7,9.65,0.08,0.24,146.98,18.37,5.44,2.3,1.18,24.11,128.24,140.51,65.47,28.83,23.84,51.72,26.07,29.63,35.44,30.93,,57.94,,0,2.25,0,3.45,22.88,7.8,17.8,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Zach E
Zach F,28.4,-60.16,3.3,3.3,14.2,14200,24.42,25.81,17.49,12.22,,2.86,1.976,8.6,541.68,0.9,7.66,,0.44,4.79,13.71,0.09,0.27,165.51,20.69,6.13,2.59,1.32,33.44,166.88,182.76,94.67,33.88,27.89,61.84,31.66,36.19,43.63,36.68,,66.29,,2.88,2.58,2.82,4.12,38.68,13.1,30.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Zach F
Zach G,5.51,-58.54,0.46,0.46,2.8,2755,4.57,4.63,0,0.63,,1.1,0.941,1.54,6.69,0.2,1.44,,0,0,0,0.03,0.09,110.2,13.78,4.08,1.72,0.88,1.11,4.74,5.22,0.92,6.51,5.63,9.95,5.47,6.13,7.19,4.28,,16.74,,0,0.46,0,0.45,0.05,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Zach G
Zach H,5.89,-59.17,2.88,2.88,2.9,2945,4.89,4.95,0,0.71,,1.18,1.002,1.65,8.17,0.22,1.54,,0,0,0,0.03,0.1,117.8,14.73,4.36,1.84,0.94,1.39,5.67,6.24,1.14,6.96,6.01,10.71,5.96,6.7,7.9,4.65,,17.7,,0,0.49,0,0.49,0.07,0,0.1,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Zach H
Zach J,10.5,-57.41,4.67,4.67,5.3,5250,8.72,8.82,0,1.97,,2.11,1.726,2.94,46.31,0.39,2.77,,0,0,0,0.05,0.14,210,26.25,7.78,3.28,1.68,8.57,23.96,26.32,7.07,12.45,10.56,20.41,12.53,14.48,17.74,9.59,,28.76,,0,0.88,0,1.03,0.62,0.2,0.5,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Zach J
Zach K,8.35,-57.48,6.11,6.11,4.2,4175,6.93,7.01,0,1.31,,1.67,1.391,2.34,23.29,0.31,2.2,,0,0,0,0.04,0.12,167,20.88,6.19,2.61,1.34,4.27,13.87,15.24,3.52,9.89,8.44,15.81,9.33,10.67,12.87,7.2,,23.73,,0,0.7,0,0.76,0.26,0.1,0.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Zach K
Zach L,15.59,-58.05,6.79,6.79,7.8,7795,12.94,15.5,9.99,3.95,,2.39,2.503,5.17,0,0.58,4.13,,0,0,0,0.06,0.18,106.19,13.27,3.93,1.66,0.85,8.93,56.52,62.01,21.62,18.53,15.53,31.7,15.31,17.13,20.06,19.4,,40.07,,0,1.55,0,2.13,5.43,1.8,4.2,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Zach L
Zach M,4.83,-57.28,6.87,6.87,2.4,2415,4.01,4.06,0,0.5,,0.96,0.831,1.35,4.51,0.18,1.26,,0,0,0,0.03,0.08,96.6,12.08,3.58,1.51,0.77,0.71,3.31,3.65,0.59,5.7,4.95,8.59,4.62,5.14,5.98,3.63,,14.98,,0,0.41,0,0.38,0.03,0,0,,,,,,,NLF?,2006,,,,,,,,,,,,,,,,,,,,,,,,Zach M
Zagut,78.92,-31.94,21.89,21.89,39.5,39460,67.87,61.52,45.47,43.8,,3.89,2.79,20.51,5742.21,1.35,18,,0,17.87,128.55,0.18,0.53,352.6,44.08,13.06,5.51,2.82,179.06,595.6,650.26,661.27,94.72,75.61,193.15,109.2,129.4,164.09,108.66,,156.33,,6.86,6.15,12.26,12.66,1096.54,371.6,852.4,pre-Nectarian,1,,GHM 1,,,VL1645  R1651,1935,,,,,,,,,,,,,,,,,,,,,,,,Zagut
